text,labels
Unicef confirm 25 children among Deir Ez-Zor dead,1
Scores of civilians killed in airstrikes on Raqqa,0
Heavy regime losses in Islamic States Raqqa counteroffensive,1
Three children killed in regime airstrikes on Homs,1
Four Hizballah members killed fighting in Syria,1
Dozens dead after suspected Russian strike on Idlib marketplace,1
Airstrikes in Syria kill dozens at start of Ramadan,1
Dozens of Syrian regime air raids on rebel-held Aleppo,1
Syrian regime airstrikes kill dozens in and around Aleppo,1
Airstrikes kill 28 civilians in Syria safe zone monitor,1
US-led strike kills 18 civilians in Syrias Raqqa,0
Deadly twin bombings hit Damascus police station,1
Russian airstrike kills scores of fleeing civilians in Deir az-zor,0
Syrian regime airstrike on Idlib market kills children,0
Triple suicide attack near Damascus police HQ ministry,1
Rebel shelling kills four civilians in Damascus monitor,0
Three White Helmets workers and six children killed in Syria air,1
Civilians killed in relentless regime bombing of besieged Damascus,0
Syrian regime airstrikes target besieged Eastern Ghouta Deir az-zor,1
Russian strikes kill 53 civilians in Syrias Deir az-Zour,0
10 dead after strikes on rebel-held hospitals in Syria,1
Aleppo bomb blast kills six Syrian state,1
Dozens of children dead in Syria evacuees bombing,1
Death toll from Aleppo bus convoy bomb attack at least 126 Observatory,1
Bombing of Syrian bus convoy kills wounds dozens outside Aleppo,1
Death toll in bomb attack on Syria evacuees hits 43 Monitor,0
40 dead in clashes between Islamist militants near Damascus Monitor,1
US-backed Syrian fighters pressing IS gunmen in north,1
Strike kills 15 including 4 children in Syrias Idlib Monitor,1
One dead in raid on Syria chemical attack town Monitor,0
86 dead in suspected Syria chemical attack New toll,1
Shelling of rebel bastion near Syria capital kills 19 Monitor,0
Suspected gas attack on Syrias rebel-held Idlib kills at least 58 Observatory,0
Barrel bomb attack kills 11 children in Syrias Aleppo Monitor,1
Syria regime pounds Kurdish positions for second day,1
More than 30 Syrian rebels killed in IS group suicide blast,0
Warplanes pound Syrias Idlib as battles rage in Aleppo,0
Rebel fire in Syrias Aleppo kills 14 State media,0
Air raids kill 10 near Syria hospital Monitor,1
Barrel bombs kill at least 15 civilians in Syrias Aleppo Monitor,1
10 civilians dead in air strike on Syria rebel town Monitor,1
Syria regime bombing kills 16 in rebel-held Aleppo Monitor,1
Double bomb attack kills 31 in Syrian Kurdish city state TV,0
Syrian state TV says 22 killed in car bomb in northern Syria,1
Aleppo rebel tunnel blast killed 38 regime forces monitor,1
US-led strikes kill 56 civilians in Syria Monitor,1
Coalition raids kill 21 civilians in IS stronghold in Syria Monitor,1
Air raids kill 18 civilians in Syrias Aleppo Monitor,1
Air raids kill 11 civilians in east Syria Monitor,0
Air strikes kill 12 in rebel-held areas of Syrias Aleppo Monitor,0
Air strikes kill 11 including children in Syrias Idlib monitor,1
Coalition air strikes Turkish army kill 8 IS group militants Report,1
Rocket attacks kill at least 30 in Syrias Aleppo,0
Motorbike bomber kills 16 outside bakery in Syrias Hasakeh,1
43 killed in Syria army shelling of rebel town Monitor,0
2 medics among 31 dead in Syria army reprisal for slain pilot,1
Syria air raids kill 25 civilians Monitor,0
18 dead in IS attack on Kurd-held Syria town Monitor,0
Syria rebel rocket kills five children,0
Turkish air strikes kill 9 IS fighters in Syria Monitor,0
12 civilians dead in Syrian raid on IS-held village Monitor,1
Missile kills 18 civilians in Syrias Aleppo Monitor,1
Barrel bombs kill 11 civilians in IS town in Syria,0
13 civilians killed in regime air raids on northern Syria,0
Huge regime bombs kill 28 in IS-held Syria town Monitor,1
Bomb rockets kill 19 civilians in Syrias Aleppo Monitor,0
9 dead as new Islamist alliance attacks Syrias Aleppo Monitor,1
Air strikes in Syria kill at least 20 Islamic State fighters Monitor,1
Syria regime air strikes kill 15 near Damascus Monitor,0
Syrian air strikes kill 70 people after rebel rocket attack Monitor,0
Syria strikes kill 45 after rebel fire on Damascus Monitor,1
Syria air strikes kill 32 Monitor,0
Seven dead 20 wounded in central Damascus blast Monitor,1
Syria fighting kills 132 Islamic State fighters Monitor,0
Suicide bomber kills 4 in Assad clans hometown,0
Syria forces execute 10 children of alleged rebels Monitor,0
35 IS jihadists killed in clashes with Syria Kurds Monitor,0
Suicide bomber kills six in Syria restaurant Reports,1
17 dead as Al-Qaeda attacks Syria Kurd town,0
20 dead in air raids in Syrias Latakia province NGO,0
Syrian army kills 62 rebels east of Damascus Monitoring group,1
Bomb kills 18 in Damascus suburb state TV,1
At least 40 killed in Syrian weapons depot blast,0
Syria regime raids kill 10 in camp for displaced NGO,0
IS attack on Syria oil field kills 30 Monitor,0
Syria air strikes kill 10 children 5 women in Aleppo monitor,0
10 Syrian troops killed in clashes with IS Monitor,0
Syria regime bombing kills 21 including 8 children,1
Twin blasts kill 30 Kurdish fighters in Syria Monitor,0
US-led strikes on Syria kill 35 jihadists overnight Monitor,0
US-led raids on Syria killed 14 jihadists 5 civilians,0
US strikes kill 50 Qaeda fighters in Syria Monitor,1
US-led strikes hit Qaeda in Syria as well as IS Monitor,0
US-led strikes in Syria kill more than 20 jihadists Monitor,1
Syria air strikes kill 42 including 16 children Monitor,1
18 IS jihadists killed fighting Syria Kurds Monitor,1
Syria air strikes kill dozens in rebel town Monitor,1
Workers dig out dead after Syria regime strike on Aleppo,1
UPDATED Regime air raids kill 42 near Syria capital New toll,0
American among 18 jihadists killed in Syria raid NGO,0
Syria army kills 32 rebels in Daraa province ambush NGO,0
Syria bombs jihadist positions in Raqa for second day,1
32 killed in Syrias Daraa Aleppo NGO,1
Air raids kill 31 jihadists in Syrias Raqa NGO,0
Syria troops kill at least 50 jihadists near Lebanon Monitor,1
Syria air strike on jihadist camp kills 18 New toll,0
85 Syria troops killed in jihadist advance Monitor,1
Syria air raids kill 20 Islamic State militants monitor,0
Russian strikes kill 34 civilians in Syrias Deir Ezzor Monitor,0
IS car bomb kills 20 in eastern Syria State media,0
At least 61 killed in air strike on Syrian market town Observatory,0
Air raids kill 29 civilians in north Syria town Monitor,0
65 bodies of civilians found in Syrian town taken from IS group,1
Rebel shelling kills four civilians in Damascus Monitor,0
At least 11 dead in Syria market air strike Monitor,0
Russia strikes kill 120 IS group fighters over 60 foreign mercenaries in Syria,0
Monitors 15 killed in missile strike on eastern Syria city,0
US-led strike kills 18 civilians in Syrias Raqa Monitor,1
At least 70 killed in north of Syrias Aleppo Monitor,1
Russia regime strikes kill 47 in east Syria Monitor,0
25 civilians killed in raids on Syria IS group bastion Raqa monitor,1
Syria rebels kill 7 in Aleppo assault capture 3 villages Monitor,1
Air strikes in Syrias Idlib kill more than 20 Monitor,1
17 civilians dead in air strikes on market in east Syria Monitor,0
Syria regime raids on Aleppo kill 16 civilians Monitor,1
Updated 31 in Syria regime strikes in and near Aleppo civil defence,1
Suicide bomber kills one in Syria regime stronghold State TV,0
6 children among 19 dead in Syria regime bombing Civil defence,0
Opposition minister among 12 dead in Syria car bomb Rebels,0
Some 20 civilians killed in Syria aid convoy attack Red Cross,1
Russia says 62 Syrian troops killed in US-led strikes,1
24 killed in raids on Syrias Idlib Monitor,0
New strikes kill at least 25 civilians in Syrias Aleppo Monitor,1
Syrian army says rebel bombardment of Aleppo killed 84 in three days,1
Dozens of civilians dead in rebel assault on Aleppo,0
Rebels in Aleppo attack Putin cautious on new Russian raids,0
Rebel fire kills 3 Aleppo schoolchildren state media,1
Syria monitor says air strikes kill 22 in school in rebel-held Idlib,1
Group IS group land mines killed wounded dozens in Syrian town,0
16 dead in heavy bombardment on Syrias Idlib Monitor,1
Air raids kill at least 12 civilians in Syrias Aleppo Monitor,1
Turkish military says 31 IS group militants killed in northern Syria,0
Blast at Syria-Turkey border kills 20 rebels Monitor,1
Suicide attack on Syria wedding kills 32 Medical source,1
ISIL crucifies 9 men in Syrias Aleppo NGO,0
At least 10 Syrian soldiers killed in Israeli raids NGO,1
Jihadists execute three Syria rebel officers Monitor,1
Car bomb kills at least 34 in Syrias Hama State media - Region - World - Ahram Online,0
Syria air raid on displaced persons camp kills 12 NGO - Region - World - Ahram Online,0
20 dead in Syria barrel bomb attack in Aleppo,1
Syria rebel infighting kills 45 fighters in 2 days - Region - World - Ahram Online,1
Car bomb in Syrias Homs kills 10 Governor - Region - World - Ahram Online,1
21 killed as Syria rebels shell Assad election rally Monitor - Region - World - Ahram Online,1
Syrian army missile kills 23 including 8 kids - Region - World - Ahram Online,0
Bomb in Syrias Idlib kills 30 government fighters Monitoring group - Region - World - Ahram Online,0
11 children among 18 dead in Syria car bombings state media - Region - World - Ahram Online,0
Car bomb rocket fire kill 45 in Syrias Homs Governor - Region - World - Ahram Online,0
Mortar fire in Damascus kills 12 wounds 50 State media - Region - World - Ahram Online,1
21 dead in rebel fire on regime parts of Aleppo NGO - Region - World - Ahram Online,1
88 dead in two days of clashes in Syrias Daraa Monitor - Region - World - Ahram Online,0
Air raid kills 21 at Syria market Monitor - Region - World - Ahram Online,1
Air strikes kill dozens in Syrias Aleppo Monitor group - Region - World - Ahram Online,0
Twin car bombs kill 25 in Syrias Homs State media - Region - World - Ahram Online,0
29 rebels dead in Syria premature car bomb blast NGO - Region - World - Ahram Online,0
Mortar fire kills two at Damascus Opera House State media - Region - World - Ahram Online,1
More than 50 Syria rebels jihadists killed NGO - Region - World - Ahram Online,0
Car bomb kills six in Syrias Homs NGO - Region - World - Ahram Online,0
Car bomb blast kills 15 in Syrias Homs NGO - Region - World - Ahram Online,1
Five dead in blast by security HQ in central Syria NGO - Region - World - Ahram Online,0
Israeli attack on Syria military camp kills three | Jordan Times,0
Dozens dead as car bomb hits Syria evacuees | Jordan Times,1
Strike kills 15 near Syrias Daesh-held Raqqa monitor | Jordan Times,1
Outrage as Syria ï_chemical attackï_ kills dozens in rebel-held town | Jordan Times,1
Five dead as Russian military helicopter downed in Syria | Jordan Times,1
Dozens dead as warplanes pound rebel-held north Syria | Jordan Times,1
Dozens dead as warplanes pound rebel-held north Syria | Jordan Times,1
At least 70 killed in north of Syriaï_s Aleppo ï_ monitor | Jordan Times,1
Massive Daesh bomb attack kills 44 in Syrian Kurdish city | Jordan Times,1
Syria regime advances on rebels in Aleppo ï_ monitor | Jordan Times,1
13 civilians killed in regime air raids on northern Syria | Jordan Times,1
Barrel bombs kill 11 civilians in Daesh town in Syria | Jordan Times,0
Syria regime air strikes kill at least 39 ï_ monitor | Jordan Times,1
Syria air strikes kill at least 44 ï_ monitor | Jordan Times,0
Syria regime air strikes kill 15 near Damascus ï_ monitor | Jordan Times,0
Massive Daesh bomb attack kills 44 in Syrian Kurdish city | Jordan Times,0
At least 70 killed in north of Syrias Aleppo monitor | Jordan Times,1
Syria rebels kill 7 in Aleppo assault capture 3 villages ï_ monitor | Jordan Times,1
Raids on Syria market kill 21 hundreds flee Daesh bastion | Jordan Times,1
ï_28 dead in Daesh counterattack on Syria regime forcesï_ | Jordan Times,0
Syrian and Russian aircraft step up bombing of Aleppo city ï_ monitor | Jordan Times,1
Syria air strikes kill 22 mostly children outside school | Jordan Times,1
Syrian government push for Damascus rebel enclave kills at least 23 | Jordan Times,1
Air strikes kill 4 in Syria ï_truce zoneï_ ï_ monitor | Jordan Times,1
Syria regime bombardment kills 4 schoolchildren in besieged enclave | Jordan Times,1
Russian strike kills 38 fleeing civilians in east Syria ï_ monitor | Jordan Times,0
US-led strike kills 18 civilians in Syriaï_s Raqqa ï_ monitor | Jordan Times,0
Russia says it kills 180 extremists mercenaries in Syria claims Shishaniï_s death | Jordan Times,1
National News Agency - Damascus explosion due to rocket bomb,0
National News Agency - Blasts in Syrias Homs kill 18 most children,1
National News Agency - Coalition raids kill 35 ISIL fighters,1
At least 100 killed after bomb hits bus convoy in Syria,0
US-led air strikes in Syria kill dozens of civilians,1
Two Russian pilots killed in Syria as DAESH downs chopper,0
US jets killed at least 15 civilians in Syria,0
Russian strikes kill 10 in Aleppo,0
Syrian Russian air strikes kill 39 civilians in Idlib,1
Syrian Russian air strikes kill 17 in city of Ashara,0
Suicide attacks near Shia shrine kill 20 Syrian Observatory,1
Russian and Syrian strikes kill 58 civilians,1
US-Russia brokered Syria truce ends,1
Air strikes in Syria kill at least 45 people,1
String of bomb blasts kill at least 42 in Syria,1
Heavy air strikes hit opposition-held parts of Aleppo,0
UNICEF says 22 schoolchildren and six teachers killed in Syria raid,0
Russian and Syrian regime strikes kill over 80 in Aleppo,0
Car bomb in Syria kills at least 17 near Turkish border,0
Russian jets resume airstrikes on Aleppo,1
Suicide bombing kills 29 at Syria-Turkey border,1
Suicide bomber targets Syrian wedding 20 killed,0
Car bomb attack kills at least 26 in Syria war monitor says,1
Air strikes kill dozens inside Syria de-escalation zone,1
At least seven children die in regime shelling at rebel-held area in Syria,1
At least 79 civilians killed by Russian and regime air strikes in Syria,0
Russia air strikes kill at least 14 civilians in Syria monitor,0
At least 17 dead as suicide bombings hit Damascus,1
Unidentified air strike kills at least eight Hezbollah fighters in Syria,0
At least 44 killed dozens injured as twin bombing targets Syrias Qamishli near Turkish border - Daily Sabah,0
Air strike on Syrian hospital kills 10 monitoring group says - Daily Sabah,1
10 civilians killed by Russian air strikes in Syrias Aleppo - Daily Sabah,1
Russian airstrikes target civilians in Syrias Idlib 15 killed - Daily Sabah,1
DAESH Russia Syrian regime target opposition - Daily Sabah,1
Syrian warplanes pound Idlib leave 22 dead - Daily Sabah,0
Assad regime helicopter kills 20 people with barrel bombs in Aleppo - Daily Sabah,1
Syria uses chemical weapons Turkey offers remedy - ïÅlnur evik - Daily Sabah,1
At least 100 civilians dead in toxic gas attack in Syrias Idlib,0
Russian airstrikes hit Syrian opposition forces,0
Opposition forces claim fighter killed others injured by Russian airstrikes in Syrias Idlib,0
Russian strike kills 18 civilians in Syrias Idlib monitor,1
Bomb kills woman wounds 25 in Syrias Homs,0
Daesh terrorists kill 33 men in Syrias Deir el-Zour - Daily Sabah,0
US coalition airstrikes kill 20 civilians in east Syria,0
Airstrikes in northern and eastern Syria kill 20 civilians activists,0
At least 126 dead in blast targeting evacuation convoy stranded near Aleppo,0
US-led coalition airstrike kills 18 partner forces Pentagon says,1
6 civilians killed 35 injured in Assad regime airstrikes in Syrias Idlib,0
Assad regime targets civilians in Homs airstrikes,1
At least 8 White Helmets rescuers killed in airstrike in Syrias Hama,0
Airstrikes by Assad regime warplanes kill 4 in Syrias Idlib destroy mosque in Hama,1
Assad regime kills at least 75 in refugee camp,0
ISIS recaptures Syrian gas fields kills 30 monitoring group says,0
At least 10 die in barrel bomb attacks by Syrian regime warplanes,1
30 Kurdish fighters killed by twin blasts in Syria,0
US-led raids kill 35 ISIS militants overnight monitor says,0
School bombing kills 30 children in Syria monitor,0
23 terrorists killed in N. Syria after Turkish artillery coalition jets pound Daesh targets - Daily Sabah,1
Regime Russia air strikes kill 39 in Idlib as strikes continue to pound Road of death to Aleppo,1
Daesh claims responsibility for bombings near Damascus at least 20 dead,0
At least 44 killed dozens injured as twin bombing targets Syrias Qamishli near Turkish border,1
Coalition airstrikes kill 85 civilians in Daesh-held villages in Syrias Manbij,0
16 civilians killed in Syrias Hasakeh after motorbike bomber attack,1
Assad regime airstrike kills 16 civilians in Syrias Aleppo,1
25 children killed in airstrikes in eastern Syria in latest round of Russian Syrian bombing UNICEF,0
15 killed 20 injured in airstrike on area near hospital marketplace in Syrias Aleppo,0
8 civilians killed by Russian airstrike in Syria,0
Syrian regime bombings kill 31 civilians in Aleppo region,0
Turkish military kills 14 Daesh terrorists in Syria,1
22 children 6 teachers killed in Russian Syrian airstrikes near schools in Idlib,0
Daesh mines killed wounded dozens in YPG-held Manbij HRW says,1
Aleppo airstrikes kill 36 people in opposition-held areas,0
11 killed 25 injured in Russian air strike in Syrias Idlib,1
Death toll rises in Aleppo while British FM blames Russia,1
Suicide attack on wedding party in Syria kills 30 injures 90,1
14 killed in suicide attack on Syria wedding,1
21 moderate opposition fighters killed in clashes with Daish in northern Syria,1
At least 23 killed in regime strikes in Aleppo as UN meets over Syria,0
Assad regime strikes kill 92 civilians in Syrias Aleppo,1
Assad air strikes kill at least 80 civilians including children in Syrias Aleppo,1
Airstrikes on clinic kill 5 medics in Syrias Aleppo,1
Air strikes kill 23 civilians in Daesh-held Syria town monitor,1
19 civilians killed in Assad regime bombing near Damascus,0
Assad regime airstrikes kill at least 9 civilians in Syrias Eastern Ghouta,1
84 people including 17 children killed by Assad regime near Damascus UN says,0
20 people killed 30 others injured in Daesh car bomb in eastern Syria,0
Regime shelling kills 10 civilians including 6 children in Syrias Damascus,1
Regime airstrikes kill 61 civilians in Aleppos opposition-held Atareb,0
At least 17 killed in triple bombing in Syrias Damascus,0
Jabhat al-Nusra terrorists execute 40 gunmen their families for attempt to surrender arms,0
More than 100 civilians killed 700 injured in Aleppo shelling in August,0
Syrian forces destroy over 60 terrorists on approached to Palmyra media,1
Chemical attack claimes over 1000 lives in Syria,1
US-led coalition airstrikes kill 14 civilians in northern Syria,0
8 persons killed 58 others injured in terrorist rocket attacks on Aleppo city,1
Ten civilians some of them children killed in airstrike by US-led coalition in Raqqa,1
135 Civilians Killed in Escalating Bombardment on Idlib in Last Three Days,1
Abdah: Assads Bombing of Aleppo Encouraged by International Communitys Bias,0
18 Civilians Killed in Barrel Bomb Attack on Rural Aleppo,1
10 civilians killed 15 injured in terrorist rocket attacks on Aleppo and Deir Ezzor,1
ISIS executes three people in Raqqa and Deir Ezzor,0
16 Civilians Dead in Coalition Strikes near Raqqa,0
2 killed 8 injured in terrorist rocket attacks on Aleppo,1
35 cases of suffocation in terrorist chemical attack on al-Hamadaniyeh area in Aleppo city,1
51 martyrs from Kefraya and al-Fouaa escorted from Military Hospital in Aleppo,0
Civilian killed 3 injured in terrorist attacks on Aleppo,0
At least 6 civilians suffer suffocation cases in ISIS terrorist attack with toxic gas on Mare city Aleppo,0
Terrorist rocket attack targets Aleppo city killing one civilian,1
Syrian Army Kills 11 ISIL Terrorists Destroy Their Posits in Deir Ezzor,1
8 persons killed 58 others injured in terrorist rocket attacks on Aleppo city,1
Four killed including two women in terrorist attacks in Aleppo and Quneitra,0
Terrorist attacks kill a woman injure 9 in Hasaka and Aleppo,0
US-led coalition airstrikes kill at least ten civilians in Raqqa,0
Three people killed five injured in terrorist rocket attack in Aleppo,1
Nine persons killed 12 injured in terrorist attack in Aleppo city,1
title: ISIL Kills over 50 in Central Syria Attack,1
Two children killed 5 others injured in terrorist rocket attack in Aleppo,0
Ten civilians some of them children killed in airstrike by US-led coalition in Raqqa,0
Three civilians killed 12 others injured in terrorist attacks in Aleppo,0
Family of six die in east Aleppo chlorine gas attack,0
Syrian Coalition: FSA is the Only Force Able to Stand against Assad and ISIS,1
Russian forces kill 120 ISIS fighters over 60 foreign mercenaries in Syria,1
One person killed 16 others injured in terrorists rocket attacks in Aleppo,1
35 Civilians Killed in Regime Air Raids on Rural Aleppo,1
Three killed including 2 women 29 injured in terrorist rocket attacks in Aleppo city,1
Dozens of Casualties in Syrias Aleppo Bomb Blast,0
10 civilians killed 15 injured in terrorist rocket attacks on Aleppo and Deir Ezzor.,0
Girl child killed two others injured in terrorist rocket attack on neighborhood in Aleppo city,1
A child killed 7 people injured in terrorist attacks in Aleppo Damascus Countryside and Quneitra,1
Alabdah: Deir Ezzor Subjected to Twofold Suffering Because of Assad Regime & ISIS,0
Deadly Russian Airstrikes Kill 35 & Destroy Hospital in Idlib,1
Zarif Urges Intl. Fact-Finding Mission to Probe Syria Gas Attack.,0
13 civilians killed 43 others injured due to terrorist rocket attacks on Aleppo Damascus,0
Assad Regime & Allies Intensify Attacks on Damascus & Its Countryside,0
Silence over Russias Crimes Serves Its Goal of Undermining Political Solution,0
ISIS kills more than 50 in central Syria attack.,1
Seven killed 37 others injured due to terrorist attacks in Aleppo and Sweida,1
Eight civilians killed others injured in terrorist rocket attacks in Aleppo and Homs,0
Death toll in Syrian bombing raid on Aleppo rises to 76: monitor.,0
Iran says Syria to let U.N. inspectors visit chemical sites,0
Terrorist rocket attacks on Salah Eddin neighborhood in Aleppo kill 10 civilians injure 16,0
Russian Aerospace Forces destroy ISIS oil refining stations kill 77 terrorists during past week,1
Turkey says tests on Syria attack victims point to possible sarin exposure,0
Syrian Coalition: Targeting Civilians Is Terrorism Pure and Simple as over 19 Civilians Killed in Russian Airstrikes on Rural Deir Ezzor,1
Saudi Arabia calls for emergency U.N. Council meeting on Syria,0
Assads forces bombard Damascus suburbs after gas attack: activists,0
Syrian Coalition Urges UN to Relieve Deir Ezzor Residents,0
26 People Killed in Russian & Assad Regime Airstrikes on Schools & Public Market in Rural Idlib,0
Three civilians killed in rocket attack in Aleppo ISIS attacks Hasaka city with mortars and car bombs,0
6 citizens killed 22 injured in terrorist attacks with shells in Damascus Aleppo and Idleb,1
6 citizens killed 22 injured in terrorist attacks with shells in Damascus Aleppo and Idleb,0
6 citizens killed 22 injured in terrorist attacks with shells in Damascus Aleppo and Idleb,0
6 citizens killed 22 injured in terrorist attacks with shells in Damascus Aleppo and Idleb,0
15 Medics Killed in Russian Airstrikes on Hospital in Southern Aleppo Syrian Coalition Describes the Attack War Crime,0
Steifo: Regime & Allies Onslaught on Aleppo Failed to Achieve Its Objectives,1
Terrorist organizations target with shells the UN offices in al-Meridian neighborhood in Aleppo,1
Bombs in Syrias Aleppo kill 13 pro-Assad fighters: monitor,1
Ten civilians injured in terrorist attacks in Daraa countryside Aleppo Damascus,1
13 citizens killed in terrorist attacks on residential neighborhoods in Aleppo,0
Alhassan Calls for UN Action to Stop Russias Use of Banned Weapons in Syria,0
Assads Air Force Kills 65 Civilians in Raqqa,1
Syrian Coalition Condemns Attack on Syrian Interim Government Headquarters in Azaz Aleppo,0
Nine Civilians Killed in Regime Airstrikes on Rural Homs Today,0
Seven people killed scores injured in terrorist attacks in Aleppo and Damascus,1
ISIS Continues to Displace Locals in Rural Deir Ezzor,1
54 Killed in Aleppo as Regime Commits Massacre against Civilians Fleeing Besieged Neighborhoods,1
Abdah: Assads Bombing of Aleppo Encouraged by International Communitys Bias,1
2 killed others injured in terrorist attacks with shells and mortars in Aleppo and Quneitra.,1
